Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3318.0388874273085
ACCEGCATKHNRXUHW,1898.1918673181679
NKCE6GJ5XVJDXNNZ,10209.452933351886
NKCEB8BK3ZXDHDHM,9056.047167766023
TOPEFDXSAHRNPF94,5617.27957853508
ACCE558KZHEPZYMG,8757.032014280441
ACCEAZCVAMFHDPY7,5114.865435415663
NKCDYNY37JPBGBVM,2618.277121241369
NKCEY8KWY33FCUYD,7572.485796323175
RNGE4YPTQYRECV9J,4722.247999440488
NKCE88AHBHJZREXH,3696.237253392007
CLTEJ5ZZGBP4JGGE,7970.399228423641
WATE3NWH5FZWAMDA,7099.672294544808
CAGE53FSFZVFPFHQ,1686.8453357667738
PCSEAKVBFFPGCHNZ,3696.2604447657504
WATDFFH3KJYBTYGG,7248.819642961842
NKCDWHFQSCHHYZMP,2736.036150652
RNGEB2PG3Q5RKDW6,3367.763395134251
NKCE5UY9HHPZGGUZ,4407.677855008314
KTAEHETW3ZCMFMJR,4162.196663889265
BRAEBBYRVF9MHJHU,7214.775292149041
NKCEAX7HAQ2RJA3Q,10176.748685048933
CRTECN2RQZWBSP9W,4895.237033769419
WATDEWZ9UHSEHGZG,9284.83464940055
PTPEYW8HNV6G9YYR,2882.7482150458554
ACCEAMGZRRYVAHDC,4988.159627202162
SRTEHHXG8MUXTGPA,5904.511125164901
SKIE4S4NN4MHYM3Z,5018.849325445667
HMBE7G34YHWPWKYN,7082.646023620544
LLIEGTMFJBD7ZZZM,10430.170285237153
ACCEJGH6JVTM4CBH,883.3849509930943
ACCDQDYBXJ9HZF37,9878.122484416617
RNGE88FRGZCXNKUG,632.6873039552265
NKCE7M3QNNPZDXHQ,9305.647889624139
VLBEGFFDP9H6WG2T,3480.8198810424487
TOPEAFG4YEQSH5TT,2417.650234502706
WATEYAP3K2QQQWDH,5334.621804383207
PCSEBDFUFJWGARNX,10408.19655981412
SWTEGXQFZY95SKG7,4917.79260047722
BRAEGJFXSM9ZQ6SK,6624.254578877901
CAGE6FYKP34GA4GF,7366.153171686718
HMBEJCMH78VJF3M8,4360.864005457004
HIFEB7J3GSTVN5XJ,8950.387493366936
PBXE6ZHNGZREWWHR,4662.9749401755025
PCSEAKVBNXFGZBKB,6827.856794268368
BRAEBBMQQNZ9RZWR,5793.744357284516
ACCEGKFCXHZZH44S,685.526222640269
SHODXQRRGKZ74U9M,4299.055704759716
DREE2Y6DVEKVVQQS,4447.690375378178
PBXE8ZHHG5Y525BT,6748.757524803385
CTTEH9FXZHGFKUA3,7941.3722754682
ACCDXFZXGQTBTM6N,3601.418887659277
NKCE9PFF3TT4KSQJ,7930.181019855235
BRAE6NZAZK77HXZK,911.9935919606079
NKCE4TV42BHDP63U,3404.0281434044173
AIREDGGD9RJPZGYW,5611.869590721217
PCSEDAPMHR2HNHWP,8254.537313383446
PACE95FMAFXHZB5C,4550.732033280946
WATDG4KP445AV5XC,10602.643448703824
ACCE9EYRRNZYZUBG,494.4171887193216
ACCE8XZMAHNC8JVS,631.7451002710319
SHOED5DCSTQKZCGF,3480.0578669779743
NKCE64Z4NGBHNAY7,3494.574748139411
PBXE8WQTZ5GA2YYQ,866.2626019756018
MUGEGZUMGYAPVSZH,4578.126400582798
PBXE4RB3Y3GXWPFV,751.949245840966
PCSE2ZFDJJGFNHC7,680.4940824462905
CRTECN2QT5HKHZ8F,4881.692413377076
MUGEACY8Q7ZYSTN8,1567.384335577857
ACCEGG9VGRMQGHRD,7362.804391908122
PCSE76X48PVSDDVK,1011.0799246224451
PBXE6677X2D6UFZZ,5739.646080972118
WCKEGGGD2TXHHTJC,379.85702664982284
NKCE7MMGF4PPGNA6,2994.0900463031553
CRTECN2QYTPHK5YQ,5074.2990587721815
OIDEJFCWMMR6JQBE,5741.476862674678
WATE5HFY4MJX6CHD,5303.4864316491585
DREE4FC4TAR8M5GN,1500.9816574093875
HACEGPF9DZVUZBFY,7827.553267101591
PBXE4Q7YF5KUYJYW,9251.702707938772
SHIED9YEH65NSA8N,9826.439989346083
WATDHMQJ68MVBRFV,10394.74737959829
HMBEGWTFEV4TF2RH,3219.88035099069
